[array([ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.07450981,  0.14901961,  0.14901961,  0.14509805,
        0.14509805,  0.11764706,  0.10196079,  0.08627451,  0.07450981,
        0.08235294,  0.07843138,  0.07058824,  0.07058824,  0.07058824,
        0.09019608,  0.10196079,  0.11372549,  0.13333334,  0.14117648,
        0.14509805,  0.15294118,  0.07450981,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.30588236,
        0.60784316,  0.60000002,  0.60000002,  0.58431375,  0.58431375,
        0.56078434,  0.5529412 ,  0.52156866,  0.51372552,  0.50980395,
        0.50588238,  0.50980395,  0.52941179,  0.53333336,  0.5411765 ,
        0.57647061,  0.58039218,  0.58823532,  0.59607846,  0.60392159,
        0.33333334,  0.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.45490196,  0.61176473,  0.59215689,
        0.60392159,  0.59607846,  0.58823532,  0.59607846,  0.55686277,
        0.56470591,  0.54901963,  0.5529412 ,  0.5411765 ,  0.5411765 ,
        0.54901963,  0.54901963,  0.57254905,  0.58823532,  0.59215689,
        0.59215689,  0.60000002,  0.59607846,  0.44705883,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ,
        0.57254905,  0.60784316,  0.59607846,  0.56862748,  0.49019608,
        0.42745098,  0.37254903,  0.36470589,  0.34117648,  0.32156864,
        0.30980393,  0.31764707,  0.30588236,  0.32156864,  0.31764707,
        0.32941177,  0.36078432,  0.43137255,  0.54901963,  0.59607846,
        0.60000002,  0.60000002,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.07450981,  0.60392159,  0.59607846,
        0.56078434,  0.43529412,  0.35294119,  0.30980393,  0.30588236,
        0.29019609,  0.30588236,  0.3019608 ,  0.31764707,  0.31764707,
        0.31764707,  0.3137255 ,  0.30980393,  0.3019608 ,  0.27843139,
        0.28235295,  0.35686275,  0.50980395,  0.58823532,  0.60784316,
